station,line,to_platform,from_platform,total
Bathurst,2 Bloor-Danforth,13600,15724,29324
Bay,2 Bloor-Danforth,13346,13740,27086
Bayview,4 Sheppard,4066,4348,8414
Bessarion,4 Sheppard,1590,1289,2879
Bloor-Yonge,1 Yonge-University,93924,110703,204627
Bloor-Yonge,2 Bloor-Danforth,97630,89233,186863
Broadview,2 Bloor-Danforth,13818,15982,29800
Castle Frank,2 Bloor-Danforth,3958,4564,8522
Chester,2 Bloor-Danforth,2925,3763,6688
Christie,2 Bloor-Danforth,7193,7551,14744
College,1 Yonge-University,20052,27544,47596
Coxwell,2 Bloor-Danforth,7590,8033,15623
Davisville,1 Yonge-University,10701,13599,24300
Don Mills,4 Sheppard,15504,16809,32313
Donlands,2 Bloor-Danforth,5247,4836,10083
Downsview,1 Yonge-University,21159,19476,40635
Dufferin,2 Bloor-Danforth,14242,16978,31220
Dundas,1 Yonge-University,37113,40083,77196
Dundas West,2 Bloor-Danforth,14303,14376,28679
Dupont,1 Yonge-University,7864,6907,14771
Eglinton,1 Yonge-University,34553,40500,75053
Eglinton West,1 Yonge-University,7799,8414,16213
Ellesmere,3 Scarborough,936,824,1760
Finch,1 Yonge-University,42662,43053,85715
Glencairn,1 Yonge-University,3273,2768,6041
Greenwood,2 Bloor-Danforth,5077,5310,10387
High Park,2 Bloor-Danforth,5346,5166,10512
Islington,2 Bloor-Danforth,18829,21425,40254
Jane,2 Bloor-Danforth,9993,9871,19864
Keele,2 Bloor-Danforth,7876,6796,14672
Kennedy,2 Bloor-Danforth,36059,32876,68935
Kennedy,3 Scarborough,15488,16600,32088
King,1 Yonge-University,27500,33433,60933
Kipling,2 Bloor-Danforth,25796,24076,49872
Lansdowne,2 Bloor-Danforth,8971,8618,17589
Lawrence,1 Yonge-University,11577,10762,22339
Lawrence East,3 Scarborough,4181,3665,7846
Lawrence West,1 Yonge-University,8520,9109,17629
Leslie,4 Sheppard,3043,3160,6203
Main Street,2 Bloor-Danforth,10507,10422,20929
Mccowan,3 Scarborough,2245,1460,3705
Midland,3 Scarborough,1404,969,2373
Museum,1 Yonge-University,5169,4510,9679
North York Centre,1 Yonge-University,13560,15559,29119
Old Mill,2 Bloor-Danforth,3363,3983,7346
Osgoode,1 Yonge-University,12383,13198,25581
Ossington,2 Bloor-Danforth,12920,13004,25924
Pape,2 Bloor-Danforth,11936,14341,26277
Queen,1 Yonge-University,22712,22551,45263
Queen's Park,1 Yonge-University,21319,24140,45459
Rosedale,1 Yonge-University,2717,3292,6009
Royal York,2 Bloor-Danforth,10369,12685,23054
Runnymede,2 Bloor-Danforth,9285,10247,19532
Scarborough Centre,3 Scarborough,10146,12679,22825
Sheppard-Yonge,1 Yonge-University,37386,37363,74749
Sheppard-Yonge,4 Sheppard,23295,22451,45746
Sherbourne,2 Bloor-Danforth,12189,12841,25030
Spadina,1 Yonge-University,6509,7063,13572
Spadina,2 Bloor-Danforth,14293,14438,28731
St. Andrew,1 Yonge-University,30087,30816,60903
St. Clair,1 Yonge-University,16522,18092,34614
St. Clair West,1 Yonge-University,11935,13884,25819
St. George,1 Yonge-University,62131,64797,126928
St. George,2 Bloor-Danforth,68492,63887,132379
St. Patrick,1 Yonge-University,14360,15343,29703
Summerhill,1 Yonge-University,3367,2912,6279
Union,1 Yonge-University,58259,60187,118446
Victoria Park,2 Bloor-Danforth,15440,16022,31462
Warden,2 Bloor-Danforth,12790,16710,29500
Wellesley,1 Yonge-University,12323,9956,22279
Wilson,1 Yonge-University,10692,12822,23514
Woodbine,2 Bloor-Danforth,7891,7354,15245
York Mills,1 Yonge-University,10606,11177,21783
Yorkdale,1 Yonge-University,13091,14837,27928
